评价,评分
2023年12月10号晚上七点十分的游船，在日月湾码头。准备看两江四湖夜景，因为这个季节雨水少，漓江和桃花江水位低，游船不能通行，只能看四湖。本来期望值挺高，看完觉得没意思，没啥可看的。一个人是175元的船票，个人觉得不值。日月双塔晚上拍很漂亮。,3
自身体验不好,1
日月双塔上的灯光开启以后，看起来比白天更漂亮，叠彩山的灯光效果给人一种神秘的感觉，和白天相比，两江四湖的夜间景色也很不错，值得坐船逛一逛，船上工作人员的讲解很到位！,4
景不错，时间太久,4
湖光水色美观，就是多年未有变化和创新,5
桂林山水甲天下，建议去桂林旅游，一定要去体验一下,5
前面游四湖有表演，灯光这些整体也还可以，一江比较单调一点，灯光也比较暗，就感觉完全在坐船，比较有趣的是没有想到游完四湖还会上岸走过去换一条船继续游江,5
97号讲解员，很不错,5
夜游两江四湖不影响白天的游玩，又能全部玩转两江四湖，夜景很美。,5
还可以的呢,5
非常好的行程，比国内其他城市的类似游程好多了，桂林下了心思了！,5
今晚刚到甲天下的桂林，晚风轻轻拂面，站在船头如画般夜景很不错！,5
感觉性价比不高,3
*****服了 两个人的票给你分开座位,1
接待服务热情,5
桂林山水甲天下，建议去桂林旅游，一定要去体验一下,5
景区为了丰富内容真是煞费苦心。,5
挺不错的就是船没有那么豪华。,5
还可以，桂林的夜景都在了,5
非常值得，夜景非常漂亮~,5
很多年前玩过，这次是给同行的大姑子买的票，自己没去，不知道体验怎么样，只觉得票价又涨了，国内旅游的门票实在是贵啊,4
体验不错！来桂林不容错过的景点项目！,5
四湖夜景还不错，两江漆黑一片什么都看不到，而且时间很短，大部分时间都在等过闸口，总的来说性价比不高。,3
就很一般，可去可不去，也不一定要游船,3
本来买夜游两江四湖的，结果在公众号忘记买了，后面又买不到要去的日期了。一江四湖也挺不错的，差不多70分钟历程，船上有讲解👍景色真是美美的,5
值得一游啊,5
景区为了丰富内容真是煞费苦心。,5
挺不错的就是船没有那么豪华。,5
客观说这个两江四湖一点都不值这个价，门票价格明显是虚高了，坐在船舱内隔着玻璃两岸风景灯光非常暗，谁去谁后悔，不如去漓江做竹筏。我的旅行走的是随意路线，但是这个景点真的是非常不推荐，价格太高了，差不多将近两百块一张票真是个冤大头，亮点就是双塔在日月湾码头就可以拍到。,1
哈哈，桂林别生气，省点时间吧，直接去阳朔吧。,3
取票方便 景色优美,5
取票方便 景色宜人,5
两江四湖，象鼻山，日月双塔的夜景🌃很美,5
可以同时把象鼻山，两江四湖，日月双塔全部尽收眼底。,5
性价比非常高,5
很漂亮，值得一游,5
总体还可以,5
帮家人定的，说很不错，行程合理又丰富，景色很好，家人玩得很开心,5
豪华游船请问豪在哪？两江都是黑乎乎的，马上要睡着了！两百多船票真是太坑爹、不想花冤枉钱的朋友们还是别去了！,1
灯光很暗，没什么景点，不好看，另外船票价格不一，在携程上订210，在有些码头却只要168，怎么说呢，虚假宣传，夜游俩江四湖大大的差评，没什么好看的，想看夜景的，步行看看就可以了,1
四湖很美，两江差点！,4
真不错，在江面上荡漾的感觉非常好，就是票太难买了，真是不容易啊。,5
真的很美真的很美真的很美真的很美真的很美真的很美真的很美真的很美真的很美真的很美真的很美真的很美,5
很棒的体验，桂林不光有美景，还有各式各样的桥，很漂亮哦！,5
还不错，非常值得一次旅行。,5
很舒服的城市，夜游不便宜。但只能一试试，希望桂林依旧保持这份美景,5
俊男男女女,5
不值这个价 夜景平淡无奇 船上还有广告推销拍照,2
广西桂林的两江四湖景色不错的。,4
灯光璀璨！景色优美！水波荡漾！,5
风景很美，但是在网上买210元，窗口买只要168元，大家别在携程上订票了，太贵，坑😓,3
请不要来当这个怨种了，有时间沿河边走走就都看了，特别不值，四月双塔也没看到，直接走一半原路返回了，体验感特别差,1
夜景还是不错的,5
只能说景色不错仅此而已，桂林山水在城区多少带点城市味，大家不要拍照片真的坑，想方法让你拍照，最后一张照片30元，成本多少我不想说，自己电子档洗出来不香吗？你不买吃白眼吧🙄，每个人经历多少有差异，不好说，反正我这次经历真的差，最忘不了那个给照片那个女生的🙄白眼。 桂林山水须有其表,1
桂林旅游必须去的地方，经过政府花巨资改造后，超级漂亮。最好晚上坐船游览，那景色，绝对无敌。,5
很舒服的城市，夜游不便宜。但只能一试试，希望桂林依旧保持这份美景,5
俊男男女女,5
不值这个价 夜景平淡无奇 船上还有广告推销拍照,2
19:30分从渔人码头出发，21:00从文昌桥码头下船，全程不走回头路！坐在船头可以欣赏两江四湖的夜景，非常漂亮，值得游完！,5
整体感觉还不错,4
没有太大意思，性价比不高还不如沿江边走走,3
景点值得一去，讲解人员讲解很细致。,5
景是不错，船的座椅不好，怎么还反坐呢,5
位于桂林市中心的免费景点，晚上的景色还是不错的。推荐来看看吧,5
值得一去游玩，桂林市区的必到旅游景点之一。,5
非常棒！桂林两江四湖的精华！,5
景色美，讲解是预制版录音，效果很好。就是象鼻山标志景点拍照的服务人员将那个角度和时机占据，让游客自己带的相机不好使。关键他们的收费拍照，照片精度不够高。,4
夜景很美，很多特色桥,4
很好风景很棒,5
好美的风景，尽在两江四湖，美丽的山水尽入眼睛！,5
票价太贵，不是那么的值，新奇的点可能在于可以体验船过闸，然后听讲解桂林的历史文化，夜景还可以，塔很漂亮,4
相当不错的体验，推荐使用，一定要体验游船，希望下次继续选择游船,5
桂林“两江四湖”，即指漓江、桃花江、木龙湖（含铁佛塘）、桂湖、榕湖、杉湖，其环城水系全长7.33公里，水面面积38.59万平方米。该工程最早形成于北宋年间（960-1127年），当时榕湖、杉湖、桂湖上舟楫纵横，游人如织，兴盛一时。桂林两江四湖构成桂林山水美景的重要组成部分,5
来桂林必须要去玩的旅游景点，去桂林之前就早早预定了船票，因为当天人多不好买票，一家人坐着游船，欣赏桂林两江四湖的夜景，心情很好，希望下次还可以再游,4
可以哦，非常多的游客看望，密密麻麻的人山人海的风景名胜古迹,5
两江四湖白天感觉不出效果，甚至经过了都完全没注意到是双塔景区，晚上的灯光辉煌还是比较出色，游湖时间大概1小时左右，还有一路讲解，很漂亮的，值得拥有。,4
没体验过，试一下，我的感觉还是比较一般,4
两江四湖是桂林市区必玩的水系景区，特别建议晚上坐游船夜游。,5
夜游景色一般，不建议夜游。,4
景色不值这个票价，只是在不停的过桥。,3
好好好好好,5
两江四湖到处都特别，到处都漂亮，到处都充满新奇，让人感受不一样的美丽和氛围,5
亲子游，还可以。,4
十几年前种的草，这一次终于拔了，坐着游船把两江四湖给游了，夜景的确也不错，沿路还有点表演，还感受了两种不同的船过坝，如果不用倒着坐就好了,5
独特的闸机,5
说实话我觉得还行吧，没有想象中那么惊艳。坐船噪音比较大，讲解听不大清，都说晚上好，白天普通，所以估计预期太高了。,4
非常好非常棒,5
挺好的，就是这个时候是枯水季，湖和江的水位有落差，需步行换乘游船。,5
桂林不大，但我觉得是这个暑假最好玩的地方。景色好，玩起来不累。螺狮粉好吃，便宜。水果也好吃，就是人有点多。,5
人太多了！登船在象山景区门口，太多人了。 游览景色好，还有过船闸像坐着船坐电梯，有趣。以前我就看过，这次给家人看的。,4
四湖景色还不错，但是两江就有点不行了，关键是没有灯光，全是暗的。,4
景色挺好，船票稍微贵了点,5
很好很漂亮,5
带爸妈出游,5
独特的闸机,4
我觉得没必要一定夜游，毕竟晚上的灯都是人工的，白天看得才清楚,5
风景无限好,5
坐游船真不如步行,3
一江四湖，还不错，门票优惠少了点,4
超级差的船 挤的要死 什么都没,1
1小时10分钟的样子 不错,5
有点小贵，总体不错,4
坐船很规范，解说详细,4
还行，没那么惊艳，江的路程灯光效果不足，晚上也看不清。相对来说湖的一段还可以,4
全程小朋友很兴奋，晚上的景色是真的很美。无奈最后一段什么都看不到。,4
夜游景色非常好,5
游船还是要坐的，可以一次看遍江湖周边景点，主要是几座桥，不坐船很难看完。夜景很美，基本都在甲板拍照。沿线灯光效果很棒，还有表演,5
这个夜景，稀松平常，完全可以不来，坐游船更是智商税，坐个船，不能去甲板拍照，有景区专门的拍照的人把位置把持住收费拍照取照片，把人当傻子宰。一个小时，几座桥牵强附会的反复讲，完全感受不到什么意思，喜欢在船李坐牢的尽管买票来,1
来桂林，夜游两江四湖，赏灯火璀璨，波光粼粼，悠然自得，美哉！,5
景色很美，值得推荐,5
小区安静！房间干净！,5
最棒的一个游玩项目，之前还觉得价格有点贵，但是玩的时候觉得真是物有所值，导员小姐姐的热情的解说，各个景点工作人员的用心，让游览变成人在画中游的感觉，特别是有小姐姐在船上穿汉服跳舞那里，感觉自己快跑进《长安三万里》的动画里面了。游玩这个基本把桂林市区的景点都过来一遍，也可以免去每个景点游览的奔波劳碌，下次要和爸爸妈妈再去看一次。献上自己拙照几张，嘻嘻(*^ω^*),5
方便快捷的,5
带着老人和小孩，一家人高兴圆满的结束了桂林阳朔之游，感谢团队的精心策划，热情接待，周到服务！感谢负责接待我们的司机师傅刘哥，友善热情贴心！辛苦啦！！！,5
景致还是不错的哦！！！！！！！！！,5
景色很美丽，非常漂亮，很喜欢,5
值得一看。,5
导游的讲解很专业,5
游船做过不少，不过这次很是值得留念一下，给大家带点图片分享一下。,5
为了景色看得更清楚选择白天游玩的，两岸风景秀丽，途径了象鼻山和日月双塔，江上的许多座桥都有不同的特色，是市中心很好的景点,4
值得一游。。景色很美。。。,5
桂林山水甲天下，现在是徒有虚名而已，不来不后悔，来了更后悔，特别是看了荔波风景后，那感觉就是不该来的，让这个美好的憧憬留在回忆里好了。,3
别来，不要来，千万不要来！,1
多的真不想说了，只说一句，千万别坐，千万别坐，千万别坐。重要的事情说三遍！,1
枯水期，体验不到10年前的乐趣了,5
好好好好好,5
桂林的一个庞大水系，建议可以晚上乘船夜游,5
真正的观景而言，还是值得尝试的,4
作为桂林市内的核心景区，名副其实。坐船夜游一江四湖（漓江+木龙湖、杉湖、榕湖、桂湖），两江四湖的话还要多一个桃花江，船采用大幅玻璃，观景效果很好。游船从漓江码头出发，至象鼻山附近掉头，过解放桥后一路观览逍遥阁、独秀峰等，至叠翠峰附近换船（现在漓江水不多，和内湖有水位差），进入木龙湖，然后一路游湖，会路过十几座桥，两岸也都是步行景区，很值得一看，最后在日月双塔附近的码头上岸。,5
夜景非常好看,5
总体来说还是不错👍,5
景色真的值回票价,5
桂林山水甲天下已经有点过了，风景确实一般。,4
夜景挺不错，坐船一路游览挺舒服，值得推荐！,5
夜景很美啊，还有导游解说,5
好好好好好,5
桂林的一个庞大水系，建议可以晚上乘船夜游,5
总体感觉一般，一个小时左右，游览路线风景一般，中途换一次船，个人觉得比较折腾。回来开车又倒腾一遍。,3
讲解员很到位，拍了照片留存，还是夜景好看,5
虽然游船时间长，时间晚但是值得一去。讲解员介绍的很好。能学习到不少东西。,5
特色不足，一船，没有南京的夫子庙夜游好,4
未满14周岁，也让人买了全票。景色一般吧，还不如白天做船看。还贵了几倍。,3
朋友们，放心冲！性价比真的很高，而且交通非常方便，大家可以来体验体验！👍🏻👍🏻赞,5
景色不错，人多等候时间长，还要换船，旅游做一次即可,4
客舱体验一般般，拥挤吵闹，并且即使在空调内也非常晒和热，中间需要步行300米换船只……,3
一路上导游介绍各种桥，起码要从十几座桥下穿过，性价比不高,3
建议一江四湖就可以了，两江四湖的最后一段要换船而且没有灯光不怎么好看，要拍日月双塔的话不需要游船直接去拍更出片,3
有点无聊的,4
没有特别惊艳的感觉，整个过程可能还有点无聊，但有些场景还是比较漂亮，比如看渔夫和鸬鹚，双塔啥的！其他就没有什么呢！总体感觉不值这个票价，有点贵！,4
夜游两江四湖，因为枯水期，实际只游了1江四湖，中间还需要换船，服务打了折扣，价格依然坚挺,3
值得体验一下,4
买票的时候是显示一江四湖 体验还是很不错 坐着游船 穿梭在四湖之间 看了很多的桥 看了夜晚的景 还看到很多玩水的人 印象最深的要数日月双塔 宛如两颗明珠 熠熠生光 让人目不转睛,5
导游姐姐讲解很专业 很认真 为人亲切。风景也很美 江上 湖上有各种各样不重复的美景。,5
感觉一般吧,4
客舱体验一般般，拥挤吵闹，并且即使在空调内也非常晒和热，中间需要步行300米换船只……,3
正好遇到下午，下船后等了很长时间才叫到车。,5
桂林两江四湖非常美丽，夜景灯光那叫一个优秀，比别的城市都好看。,5
很好！桂林山水甲天下！,5
遇到枯水季，一江四湖，除了需要换船都挺好。,5
可以可以可以,5
导游人员服务好热情,5
小哥服务热情、周到，业务熟练，照相技术精湛，路线规划合理，景点独特。,5
来了就会后悔的地方,1
在船上拍照的工作人员态度不好，不停的驱赶我们，最漂亮得景，自己不好拍照。,3
门票可在携程预订，预订后有人联系确定出游时间 从桂林象山码头出发，码头候客厅安排了古筝表演 夜景丰富，为桂林必玩景点 导游经验丰富，解说很细致,5
还行，最后的日月塔好看,4
风景非常赞，特别是日月双塔、还有很多的桥洞，湖边的灯光夜景，都非常好看。,5
夜游时，两岸的灯光还是太少了,3
有时间还是来体验下,4
6号导演讲解非常好，科举考试喜欢,5
桂林市区最为著名的景点之一，为一个人工景观湖，可以体验升降船，晚上的夜景最为漂亮，游客基本都会在这里打卡。围着湖岸走一圈也别有乐趣。,4
全程70分钟 可以说有一部分的时间是在等待 有一部分的时间是在看黑夜 只有很少的时间是在看一些夜景 全程大部分是黑洞洞的 180夜游真的不值 不是一般的坑。,1
风景美如画！值得一去！,5
桂林两江四湖构成桂林山水美景的重要组成部分，绚丽美景令人流连忘返！,5
晚上感受一下桂林夜景，很棒！,5
挺好的，三个码头挺方便上船！,5
两江四湖的夜景更漂亮，还可以入住附近的瀑布大饭店，美景尽收眼底。,5
服务很好，景色优美，天气也很给力，船上拍照真的充数套路，小的免费送看不清，大的30都没过塑！不过风景是真的美,4
票要提前定，下车日月码头打车很难打，夜景很美，换码头时候最出片的塔前应该多停留会，我们这个船网络问题没有照片，但是停留太短，自己也没法拍，也没有备用方案比如给我们电子照片,5
旅游特别满意,5
讲解员很专业，态度温和有耐心，但是两江四湖也就那样吧！如果想看看夜晚不同的风光，又不想太累的话，可以乘船看看,3
总体不好，讲解得很随意，灯光也是很普通，没有很惊艳的地方，不值票价，还不如电瓶车环湖骑行来的惬意,1
晚上能看到风景太一般了,4
桂林一江四湖，夜景确实很美。包括漓江、木龙湖、桂湖、榕湖、杉湖，最后杉湖中的日月双塔在夜晚中美轮美奂。导游讲解也很到位。,4
晚上感受一下桂林夜景，很棒！,5
挺好的，三个码头挺方便上船！,5
两江四湖的夜景更漂亮，还可以入住附近的瀑布大饭店，美景尽收眼底。,5
服务很好，景色优美，天气也很给力，船上拍照真的充数套路，小的免费送看不清，大的30都没过塑！不过风景是真的美,4
下订单后会有工作人员提前联系登船地点同时确认登船时间，有多个时段可选很方便！夜景不错，船上还能看到两岸的实景表演，船上还给提供矿泉水很细心！,5
太好了，值得推荐,5
很不错，满意,5
感受很好！,5
夜游两江四湖，很惬意，让人心情舒畅，和家人一起吹吹江风，很好,4
景色很漂亮，讲解也很不错,5
两岸灯光还有待进步，日月塔最好！,4
很好很好很好,5
亮灯的时候真的很漂亮，美轮美奂，我画中游,5
个人觉得没什么意思,2
订票合订的两江四湖和日月双塔，两江四湖没什么问题，但是去日月双塔景区工作人员说压根没有我的信息，显示软件上显示预定成功但是压根没有景区人员要求的二维码(两江四湖是有二维码的)，害我错过了去日月双塔的景区，增加了后续售后处理问题，还不支持退日月双塔的钱，我只能说这个商家真是干的一手霸王餐行为,1
本来订的两江4湖，电话沟通没有位置了只能游览一江四湖，床还挺干净的，开的很慢，很稳，不摇晃。从白天游到了晚上。这个时间点刚刚好，可以看白天的景色，也可以看晚上的景色。漓江边很多人游泳，水很清。游完了漓江要换另外一艘船游四湖，船票相对于其他的景点有点贵了。船上的导游小姐姐讲解的很仔细,4
总是在心里默默对自己说，好了，好了，好了，这辈子不就这一次嘛 7.以后不建议游玩 7.之前来都来了,3
不去感觉来都来了，去了吧……实在一般，跟漓江游轮，遇龙河漂流差远了,4
不值得一来，没啥看的，类似人工主题公园,1
风景很好，值得一游！江上灯光美轮美奂，还有小表演和大屏幕回顾历史。,5
【景色】一般 【趣味】一般都不要钱,5
超赞的一次旅行,5
说实话，200多一位的价格体验很一般。夜景很美，服务一般，第一次坐观光游船速度超快的开，站在船舱外我感觉不稳。中间还要换船，由于船舱较矮也看不出窗外什么景色，有些夜景都被遮挡了，。,3
同一时间的船，一样的票价，这个没有桌子，隔壁的船有。,3
两江四湖美景尽收眼底,5
坑，和一般湖面夜景差不多 没什么特别之处，200多元一点都不值,1
也游船过了船坝之后体验感还是不错的，前面有点慢风景也一般，后面很精彩，值得体验。,4
夜景真的很不一样，特别是双塔～～,4
不错，桂林的旅游业非常成熟，配套服务也都到位，唯一的遗憾就是商业化太浓！我们看了象鼻山，坐了一江四湖的游船，天气有点热！大家拍照的热情不高！,5
这是来桂林必玩的项目，一次性看完两江四湖周边的风景，晚上的灯光很美，全程船上有导游介绍，又不累。,5
带父母出游的必备项目！！！！,5
坐船还是挺凉爽的，在炎热的夏天里，坐着船，吹着空调还是挺舒服的，白天的景色没有夜游那么灯光效果，但是两岸景色可以看到更清楚，总体还不错。,5
晚上风景还是不错,4
景色美！心情好,5
景色美，谢谢！,5
很值得，人也不多，特别舒服,5
还行，没玩过类似的项目可以看看，玩过类似的就不用去了,5
千万不要做夜船，能劝一个是一个，真的不值！ 不是船的问题，是景点问题。晚上天黑之后两岸风景啥也看不见，只剩下诡异的灯光绿的黄的零零散散打在两岸的树上。彼时无法分辨千年榕树是哪一棵...更夸张的是路过了很多盗版桥，其中还有“金门大桥”哈哈哈哈哈..... 也怪我不好，智商太低居然买了这个景点....,5
【景色】非常非常的喜欢 【趣味】非常非常的期待,5
桂林市区招牌景点，可以坐船。。,4
就是普通的公园很大而已，象鼻山公园也在里面,4
两江四湖位于广西桂林。晚上和白天的景色都非常好看。两个时间段都有游船可坐。,5
开心快乐愉快,5
桂林山水甲天下，两江四湖是代表性景点之一，可以日游，夜游则是两岸夜景尽收眼底！两江四湖穿过桂林市区，可以沿岸分段行走，也可以乘坐游船游览，各有特色！,5
又来了两冮四湖，美景依然在，美感也在。,5
在携程用一张订单订的票，结果是订的座位居然是分散的，太差了。,1
很不错的哦,5
性价比很低，基本没啥可看的在沿江路边完全可以看到，船也很小，体验感太差，210一人的船票感觉什么美景也没有看到，沿江亮化工程很少全程就是在听导游讲解，其他全靠想象,1
说实话，不推荐，735元，两大两小，大娃身高超过1.4了算成人，船舱只有一层，还是两两相对的座次，看着面对面的陌生人尴尬得不要不要的，两江景色一般，江水也浑浊，四湖跟人工湖差不多，刻意性太强，岸边有船经过就跳舞的姑娘，摆pose的鱼鹰、装饰渔船看得意兴索然，缺历史底蕴又缺舒适缺娱乐，只知道不停的钻一座又一座桥，看桥底的现代雕刻，都没心思拍照,3
船上孩子特别多，很闹,3
就是普通的公园很大而已，象鼻山公园也在里面,4
来桂林旅游，住在市区的话，除了可以游览象鼻山，晚上还可以游览两江四湖，夜景很美！,5
桂林山水甲天下 夜游两江甲桂林,5
太美了，非常推荐一去，特别是夜游四湖,5
桂林的两江四湖真的很漂亮啊，尤其是晚上的夜景，尤其漂亮,5
去桂林的那次夜游两江四湖，还遇到了外国友人,4
桂林两江四湖是桂林市中心最美的风景线，白天乘船游览虽能纵览桂林城中的名山名桥、亭台楼阁，感受“千峰环野立、一水抱城流”的美妙景致，但夜游两江四湖，她的美又更胜一筹。山水被灯光装扮得美轮美奂、水里的倒影、湖上训练鸬鹚捕鱼表演，天上的一轮圆月相得益彰，一片祥和，让人流连忘返。,5
确实挺不错的。,5
桂林山水甲天下，桂林市区里两江四湖同样精彩,5
最美的夜景 没有之一 欢迎来桂林,5
游船途中有安排多个表演,5
灯光璀璨！色彩斑斓！两岸秀美！,5
知名景点，走走逛逛就能看个大概！,5
1. 白天景色很一般，完全不值得来，晒都要晒死，很多山、塔和桥都是噱头，建议去阳朔那边 2. 导游工作不认真 只在乎念完导游词 满脸不愿工作的臭脸 然后开始卖照片 那个照片清晰度不超过720p 至少花了5min念经卖照片 3. 唯一亮点是师傅的开船技术，这么拉的船开的这么好,1
值得一去游玩的好地方，桂林市区内主要景点之一。,5
广西桂林著名景点，两岸景色不错。,4
【景色】景色很美，几个湖串在一起，坐船游览非常舒服 【趣味】趣味性和观赏性都强。 【性价比】很高,5
桂林山水甲天下，两江四湖果然名不虚传啊，游船小而精致，空调开起，解说讲起，一路上各种美景美不胜收,5
免费景区，是个公园 夜景比白天看着好看，两个塔是可以收费进去的，不过即便没什么意思，看看外边的夜景就可以了，晚上拍拍夜景还是不错的。,5
最美的夜景 没有之一 欢迎来桂林,5
非常不错的地方，以后还会去的。,4
很漂亮的免费景区，值得一去的名胜,5
很美的夜景，值得一坐。90分钟旅程，美不胜收。下次推荐朋友们来玩。领导们打通两江四湖的魄力还是很牛的，讲旅游任督二脉打通了，财源滚滚来。,5
游了很多次了,5
两江四湖是桂林城市山水景观的精髓！,5
两江四湖是广西桂林市区的著名景点，第一次去一定去打卡。夜景果然山众。,5
桂林市区内最知名景区，包括好多地方，可以看山看水！,4
很好的游船体验，看了很多桥和景！,4
就感觉一般般没什么惊艳与惊喜,3
两江四湖是桂林的名片之一，坐拥桂林城最核心、最优美的环城风景线，乘船夜游更美。它有可与威尼斯媲美的环城水系，可以饱览桂林市区的精华景观，是欣赏桂林山水美景的另种方式。真实地体现了“千峰环野立，一水抱城流”的美妙景致和“城在景中，景在城中”的和谐景观。,5
非常不错的地方，以后还会去的。,4
没空去阳朔，就只能在市区逛逛。不建议坐船，在岸边逛看到的风景也一样，更实惠。,4
一定要和丰水期去，70的门票，实在不太高,3
买的两个人，票是只有一张的，当天会打电话来询问我们几点坐船，告知上船点,5
这个两江四湖信我的，没啥意思。那夜景也没啥看的。如果你行程里有游船去阳朔，那么，这个两江四湖游船，没有任何必要坐。同行4人，2人睡着了。。。。。。,3
值得一游，周边景色也都挺不错的，空气清新，推荐！,5
甲山水！！！甲山水尽在桂林！！！！！,5
为什么评分不高，因为有对比 前几年来过桂林，且乘过一次两江四湖游船，我感觉除了价格有进步，其他方面非但没有进步，反而退步了，体验差了，慌里慌张的行程、无精打采的导游和赚钱的拍照工作人员，有种鸡肋的感觉。,2
我觉得还行，挺好的！,4
除了阳朔的漓江，最美的风景就是两江四湖的夜景了，,5
景色非常不错，特别是晚上夜游景色很不错。,5
没空去阳朔，就只能在市区逛逛。不建议坐船，在岸边逛看到的风景也一样，更实惠。,4
价格偏高，美！,4
夜景很漂亮。,5
真感觉不值这个价钱，纯粹是流量捧起来的。 真感觉不值这个价钱，纯粹是流量捧起来的。 真感觉不值这个价钱，纯粹是流量捧起来的。,2
一江四湖景色宜人，不愧是桂林山水甲天下。乘游船观漓江是不错的选择。,5
不看后诲，看了更后海。,4
桂林山水甲天下，两江四湖晚上去，夜景不错,5
景色很漂亮,5
很美的风景，值得去，慢下来，享受惬意的时光。。。,5
风景优美自然，城在景中景在城中,5
每个城市基本都有乘船夜游，桂林夜景特色不足，唯一亮点乘船升降机较震撼,3
携程预订非常棒，便捷很好！景色不错，只是拍照一般般,5
这里的美景美不胜收真的是非常非常的,5
2江四湖变1江四湖，后续没有处理通道，景色不怎么样，已知的只有1江四湖游，携程还卖两江四湖游的票。,1
一般般吧！没啥意思,3
夜景很美，票价挺贵,5
游览时间80分钟，全程有导游介绍。日月塔的夜景是最值得期待的，还有过升降闸，都非常有意思。 美中不足的是座位无法自选，分到的位置是反向的，体验感差了一些。,5
超级鸡肋的产品，是此次桂林性价比最不高的景点，票价贵，就看点两岸的灯光，没有任何特色，不知道怎么定价的。,1
来桂林一定要来两江四湖，夜景非常漂亮，来拍照呀！,5
携程坑得死！取票地点说是两江四湖景区登船码头售票处，结果是象鼻山渔人码头，根本不是一个地方！开车堵的死走路远的很！害我们船都没赶上只能改签！,1
其实在岸上拍双塔和在船上拍没啥区别，另外性价比，比坐船去阳朔差好多。其实我在6-7年前就坐过这个观光船，与之前相比，减少了文化表演，用灯光氛围进行了替代。，效果差了很多。更希望人文的东西多一点。多一点烟火气。,3
携程预订非常棒，便捷很好！景色不错，只是拍照一般般,5
这里的美景美不胜收真的是非常非常的,4
景区就在市中心，交通非常方便。白天和晚上坐船游览感受完全不一样。,5
再次替人预订，朋友很满意,5
夜景好看，游船有点旧,5
夜景好看，值得拥有,5
为了赶时间才选的这个景点，景色不好，趣味性几乎没有，不值这个价钱。,3
景色和服务非常好！,5
一点也没有意思,5
超值，可以信赖,5
还可以吧，过程中有两次拍照，白天看两岸的风景,5
景色很美，票价可能是最贵的，上船一问其它外地游客都是160买的🥺，好像还有当地人不过百，最搞笑的是两个人一起的竟然坐位不在一起😂但船上服务很好，放大照片30元一张可自选，游船大概80分钟左右，下船后可以直接去东西巷转转步行八百多米。,3
游览一圈夜景还行，日月双塔晚上看比白天好看。不喜欢拍人像，所以没有找摄影师拍，但是也不能因为你要赚钱所以推开拍夜景的客人吧…,3
值得一去，这是桂林市区较好玩的风景区，既可看喀斯特地貌峰林，又可看江景。,5
晚上游两江四湖景色还是很漂亮，豪华船的配套设施就比较一般，只能没去过的还是可以去去，如果要求太高这不是首先,3
非常非常差的一次体验，因为一直相信携程以前定票都没有比过价。这次买船票前还和客服沟通过确认不会比其他地方贵才下单的。结果排队等船过程中无意得知80%的游客买的同样的船票都是170，为了确认我还跑去最近的一个线下门店问，得知也是170。一直都很相信携程平台却被活活坑了40元一人，和客服经过很多次沟通以为他们会给我一个可以接受的处理方式，结果等了几天最后还是告诉我四个人160元差额补我50元瞬间感觉携程的无耻。把自己亲身经历告诉大家，不要太相信携程了，不然会被他坑惨！,1
桂林市内的景点景色还可以，天气好的时候很漂亮,4
